Status,IPAddress,Progress,Duration (in seconds),Finished,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,consent,gender,age,race,ethnicity,educ,marstat,employstat,income,pid7,ideo5,religion,ethnocentrism_1,ethnocentrism_2,ethnocentrism_3,ethnocentrism_4,ethnocentrism_5,monitor1,monitor2,monitor3,attention1,imm1,imm2,imm3,govtrust1,govtrust2,govtrust3,electiontrust1,electiontrust2,electiontrust3,votesconf1,votesconf2,attention2,vf_thoughts,vf_happens,vf_white_collar,vf_elect2020,attention3,vf_problem,vf_concern,vf_solutions,vf_solutions_9_TEXT,irr1,1_select1,2_select1,3_select1,4_select1,5_select1,6_select1,7_select1,8_select1,9_select1,10_select1,irr2,choice1_gender1,choice1_gender2,choice1_education1,choice1_education2,choice1_education3,choice1_country1,choice1_country2,choice1_country3,choice1_country4,choice1_country5,choice1_country6,choice1_englishprof1,choice1_englishprof2,choice1_conviction1,choice1_conviction2,choice1_citizen1,choice1_citizen2
IP Address,24.3.27.93,100,743,TRUE,R_17Wo92u6Fyn2Z6B,,,,,40.5908,-80.3155,anonymous,EN,1,1.391,33.413,34.471,16,"Yes, I consent",Female,55 - 64,White,No,"Some college, no degree",Widowed,Self-employed,"Less than $19,999",Not very strong Republican,Moderate,Roman Catholic,82,12,38,50,14,Never,Fair,Once in a while,CORRECT,Decreased a lot,Decreased a lot,Somewhat likely,A little,Run by a few big interests,About half,Not at all accurately,A little,Rarely,Somewhat confident,Somewhat unconfident,CORRECT,The likelyhood that some votes are not counted. Possibly not even recieved or gotten rid of. Bias,Some votes may never be recieved or counted. A bias more than likely exists,Yes,A lot,CORRECT,Somewhat,"Always, even when there is no evidence",Secure voting systems,,Profile 1,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 2,Profile 1,Profile 1,Profile 2,Female,Female,College degree,College degree,High school diploma,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Fluent English,Fluent English,Prior conviction (not voting related),No prior conviction,No,No
IP Address,24.145.42.129,100,1460,TRUE,R_2EFfN6wyjpXFzwJ,,,,,33.5077,-81.6877,anonymous,EN,1,1.101,6.95,7.88,5,"Yes, I consent",Female,35 - 44,Black or African American,No,"Some college, no degree","Married, or in a domestic partnership",Employed part time (29 or less hours per week),"$70,000 - $79,999",Independent,Moderate,Other,60,60,60,60,60,Once in a while,Good,About half the time,CORRECT,Decreased a little,Kept the same as it is now,Neither likely nor unlikely,A little,Run by a few big interests,Most,Very accurately,A little,Rarely,Somewhat confident,Somewhat unconfident,CORRECT,I think about people using other people's identity to vote when I think about voters fraud.,I think people purposely recruit fraudsters in an organized fashion to influence elections as well as some people frauding just because they are extremists or insane. ,Yes,A little,CORRECT,A little,Only when there is concrete evidence of widespread voter fraud,Incarcerate individuals guilty of committing voter fraud,,Profile 1,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Profile 1,Profile 2,Male,Male,College degree,Less than high school,College degree,USA,USA,USA,USA,USA,USA,fluent English,fluent English,Prior conviction (not voting related),Prior conviction (not voting related),Yes,Yes
IP Address,74.74.189.246,100,578,TRUE,R_78vjkWeeLUneIxj,,,,,43.122,-76.1229,anonymous,EN,1,25.478,25.478,27.414,1,"Yes, I consent",Male,65 or older,White,No,"Bachelor's degree (e.g. BA, BS)","Married, or in a domestic partnership",Employed full time (30 or more hours per week),"Over $100,000",Strong Democrat,Moderate,Roman Catholic,88,89,88,89,85,Once in a while,Fair,Once in a while,New York,Kept the same as it is now,Increased a little,Somewhat unlikely,A moderate amount,Run by a few big interests,A few,Completely accurately,A great deal,Occasionally,Very confident,Very confident,CORRECT,It is too small to worry about,People forget that they have already voted omce,Yes,Not at all,CORRECT,Not at all,Only when there is concrete evidence of widespread voter fraud,Educating voters about the voting process,,Profile 1,Profile 2,Profile 2,Profile 2,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Profile 2,Profile 1,Profile 1,Female,Male,College degree,Less than high school,College degree,China,China,China,China,China,China,Fluent English,Fluent English,No prior conviction,Prior conviction (not voting related),Yes,Yes
IP Address,66.68.10.75,100,756,TRUE,R_6QSAxnc8cyUDiKT,,,,,30.5045,-97.8209,anonymous,EN,1,10.547,11.525,13.258,2,"Yes, I consent",Female,65 or older,White,No,"Bachelor's degree (e.g. BA, BS)",Single (never married),Retired,"$20,000 - $29,999",Strong Democrat,Liberal,Nothing in particular,82,82,82,82,76,Once in a while,Fair,Once in a while,CORRECT,Kept the same as it is now,Kept the same as it is now,Somewhat unlikely,A moderate amount,For the benefit of all people,A few,Very accurately,A great deal,Rarely,Very confident,Very confident,CORRECT,I think about the Republicans who have been caught doing that. I also think about the woman who was indicted for voter fraud when she believed she was eligible to vote but wasnt told by election officials that she couldnt.,"It can happen when someone tries to vote more than once, by using a separate identity, i.e. someone who died, or a relative. It can also happen when election officials dont carry out their duties and allow ballots to be meddled with or destroyed.",No,Not at all,CORRECT,A little,Only when there is concrete evidence of widespread voter fraud,Secure voting systems,,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Female,Female,College degree,High school diploma,College degree,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Fluent English,Fluent English,No prior conviction,Prior conviction (not voting related),No,No
IP Address,108.81.235.92,100,605,TRUE,R_2hzOFqBD5EGnkCA,,,,,28.5464,-81.2585,anonymous,EN,1,11.857,15.522,16.545,4,"Yes, I consent",Female,45 - 54,White,No,"Some college, no degree",Divorced,Unemployed,"Less than $19,999",Lean Republican,Moderate,Protestant,99,99,99,99,99,Once in a while,Good,Once in a while,CORRECT,Decreased a little,Increased a little,Neither likely nor unlikely,A little,Run by a few big interests,About half,Moderately accurately,A moderate amount,Rarely,Somewhat confident,Somewhat unconfident,CORRECT,I think those people should have to serve jail time for doing so.,I think some people gain access to a fake identification card.,Yes,A moderate amount,CORRECT,A moderate amount,"Always, even when there is no evidence",Incarcerate individuals guilty of committing voter fraud,,Profile 2,Profile 2,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Profile 2,Profile 1,Profile 2,Profile 2,Profile 1,Male,Male,High school diploma,Less than high school,High school diploma,Syria,Syria,Syria,Syria,Syria,Syria,Broken English,Broken English,No prior conviction,Prior conviction (not voting related),No,No
IP Address,107.77.228.127,100,652,TRUE,R_7fpThhdkV4cTxJm,,,,,34.0544,-118.244,anonymous,EN,0.899999976,8.559,9.848,11.047,2,"Yes, I consent",Male,55 - 64,White,No,"Master's degree (e.g. MA, MS, MEd)","Married, or in a domestic partnership",Retired,"Less than $19,999",Strong Republican,Very Conservative,Protestant,90,5,10,70,1,Never,Poor,Once in a while,CORRECT,Decreased a lot,Increased a lot,Extremely likely,Not at all,Run by a few big interests,Most,Not at all accurately,Not at all,Fairly often,Unconfident,Unconfident,CORRECT,It is on    a massive                                                                                                                                     scale,allthetime,No,A lot,Not at all,A lot,"Always, even when there is no evidence",Stricter voter identification requirements and verification,,Profile 2,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Profile 2,Profile 1,Profile 1,Profile 1,Profile 1,Male,Female,College degree,Less than high school,College degree,USA,USA,USA,USA,USA,USA,fluent English,fluent English,No prior conviction,No prior conviction,Yes,Yes
IP Address,174.205.33.142,100,1037,TRUE,R_2LXtcXkOn7rlMPk,,,,,36.1682,-115.2166,anonymous,EN,0.899999976,2.076,17.47,18.558,11,"Yes, I consent",Female,65 or older,White,No,"Bachelor's degree (e.g. BA, BS)","Married, or in a domestic partnership",Retired,"$30,000 - $39,999",Strong Democrat,Liberal,Nothing in particular,61,51,49,60,49,Never,Very Poor,Never,Nevada,Kept the same as it is now,Decreased a little,Extremely unlikely,A little,Run by a few big interests,About half,Very accurately,A great deal,Fairly often,Somewhat confident,Somewhat confident,Unconfident,"I think it happens very infrequently. If it weren't for Trump and his idiot followers, we wouldn't have this discussion ",Not  enough to get too excited about. Like I said before it would not have been an issue before 2020.,No,Not at all,CORRECT,Not at all,It's not a significant concern,Educating voters about the voting process,,Profile 1,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Profile 1,Profile 2,Female,Female,Less than high school,Less than high school,College degree,Germany,Germany,Germany,Germany,Germany,Germany,Fluent English,Fluent English,Prior conviction (not voting related),No prior conviction,Yes,Yes
IP Address,76.35.52.161,100,1329,TRUE,R_3Ic3HscwOPqzwR8,,,,,39.8026,-84.0154,anonymous,EN,0.899999976,1.091,38.815,39.547,15,"Yes, I consent",Female,25 - 34,White,No,"Bachelor's degree (e.g. BA, BS)",Single (never married),Unemployed,"$30,000 - $39,999",Not very strong Democrat,Very Liberal,Nothing in particular,85,85,85,85,80,Once in a while,Fair,Once in a while,CORRECT,Increased a little,Decreased a lot,Somewhat unlikely,A little,Run by a few big interests,About half,Very accurately,A lot,Occasionally,Somewhat confident,Somewhat confident,CORRECT,When I think about voter fraud it brings to mind false accusations of mail in voting being called voter fraud as well as political arguments during election time.,I think voter fraud happens when people believe in their political candidate so much that they're willing to go against the values of our election system.,Yes,Not at all,CORRECT,A little,Only when there is concrete evidence of widespread voter fraud,Providing public access to election data,,Profile 2,Profile 2,Profile 1,Profile 2,Profile 2,Profile 2,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Male,Female,High school diploma,Less than high school,Less than high school,China,China,China,China,China,China,Broken English,Broken English,Prior conviction (not voting related),No prior conviction,Yes,Yes
IP Address,47.189.73.24,100,373,TRUE,R_3GNPIVHt835QFIb,,,,,32.9993,-96.8346,anonymous,EN,0.899999976,0.985,1.569,2.317,2,"Yes, I consent",Male,35 - 44,White,No,"Associate degree (e.g. AA, AS)",Single (never married),Employed full time (30 or more hours per week),"Over $100,000",Lean Republican,Conservative,Other,75,16,53,90,75,Once in a while,Fair,Once in a while,Texas,Decreased a little,Increased a lot,Neither likely nor unlikely,Not at all,Run by a few big interests,All,Moderately accurately,Not at all,Never,Neither confident or unconfident,Neither confident or unconfident,CORRECT,"Voter fraud is likely something utilized by certain politicians to push an agenda. Voting is often controlled by local governments and people who wish to be politically active - so with that in mind, voting fraud is totally possible.","See above - anyone who is politically active and becomes involved in polling procedures can initiate voter fraud through a variety of means ( accepting fake IDs, fake ballots, etc)",Yes,A little,Not at all,A little,Only in closely contested elections,Stricter voter identification requirements and verification,,Profile 2,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Male,Male,High school diploma,Less than high school,Less than high school,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Broken English,Broken English,Prior conviction (not voting related),Prior conviction (not voting related),Yes,Yes
IP Address,173.169.151.93,100,1804,TRUE,R_3EvT2Lx6B9qmrJv,,,,,28.1951,-81.6062,anonymous,EN,1,2.601,11.355,12.286,2,"Yes, I consent",Male,25 - 34,Black or African American,No,"Bachelor's degree (e.g. BA, BS)","Married, or in a domestic partnership",Employed full time (30 or more hours per week),"$50,000 - $59,999",Strong Republican,Conservative,Protestant,100,100,100,100,100,About half the time,Poor,About half the time,CORRECT,Kept the same as it is now,Kept the same as it is now,Somewhat unlikely,A little,Run by a few big interests,About half,Very accurately,A lot,Never,Somewhat confident,Somewhat confident,CORRECT,Voter fraud happens when people try to cheat either in the voting or counting to help their political candidate win.,It happens because they are trying to cheat to make the preferred candidate win.,Yes,A moderate amount,CORRECT,A lot,Only when there is concrete evidence of widespread voter fraud,Secure voting systems,,Profile 2,Profile 1,Profile 2,Profile 2,Profile 2,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Female,Male,High school diploma,College degree,High school diploma,USA,USA,USA,USA,USA,USA,fluent English,fluent English,No prior conviction,Prior conviction (not voting related),Yes,Yes
IP Address,136.53.56.200,100,538,TRUE,R_5gG89Afa3p711GF,,,,,34.7315,-86.5654,anonymous,EN,0.899999976,1.549,3.792,4.464,3,"Yes, I consent",Male,25 - 34,White,No,"Master's degree (e.g. MA, MS, MEd)","Married, or in a domestic partnership",Employed full time (30 or more hours per week),"Over $100,000",Lean Democrat,Liberal,Agnostic,50,50,50,50,50,Once in a while,Poor,Once in a while,CORRECT,Kept the same as it is now,Increased a little,Somewhat unlikely,A moderate amount,Run by a few big interests,A few,Very accurately,A moderate amount,Rarely,Somewhat confident,Somewhat unconfident,CORRECT,Political actors at the farthest ends of the spectrum trying to either vote multiple times or decrease their political opponents vote count.,Same as above - trying to vote multiple times or somehow decrease the votes of a political opponent.,No,Not at all,CORRECT,A little,Only when there is concrete evidence of widespread voter fraud,Educating voters about the voting process,,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Male,Female,Less than high school,College degree,Less than high school,China,China,China,China,China,China,Fluent English,Fluent English,No prior conviction,Prior conviction (not voting related),No,No
IP Address,108.210.38.121,100,613,TRUE,R_3EG1BhQ2JIPEiNv,,,,,35.7832,-91.6369,anonymous,EN,1,5.545,5.545,7.497,1,"Yes, I consent",Male,65 or older,White,No,High school degree or equivalent (e.g. GED),"Married, or in a domestic partnership",Retired,"$20,000 - $29,999",Strong Republican,Very Conservative,Protestant,50,50,50,50,8,Never,Fair,Never,Arkansas,Decreased a lot,Increased a lot,Extremely unlikely,Not at all,Run by a few big interests,Most,Very accurately,Not at all,Occasionally,Somewhat unconfident,Unconfident,CORRECT,the biden administration,by over voting with ineligible ballots and ineligible voters,Yes,A lot,Somewhat,A lot,"Always, even when there is no evidence",Other (please write):,paper ballots,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Female,Male,Less than high school,College degree,High school diploma,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Broken English,Broken English,Prior conviction (not voting related),Prior conviction (not voting related),Yes,Yes
IP Address,71.201.67.197,100,1648,TRUE,R_4QLWPB1hrE8eqfE,,,,,41.9246,-89.0722,anonymous,EN,0.899999976,1.955,2.62,2.86,2,"Yes, I consent",Male,25 - 34,White,No,"Bachelor's degree (e.g. BA, BS)","Married, or in a domestic partnership",Employed full time (30 or more hours per week),"Over $100,000",Strong Democrat,Very Liberal,Protestant,68,72,69,72,71,About half the time,Excellent,Once in a while,CORRECT,Decreased a little,Decreased a little,Somewhat unlikely,A little,Run by a few big interests,Most,Very accurately,A great deal,Rarely,Very confident,Very confident,CORRECT,"I think about the last election, when vote counters were caught throwing out votes cast in favor of Joe Biden.",I think voter fraud happens in a great variety of ways. ,Yes,A little,CORRECT,A little,"Always, even when there is no evidence",Incarcerate individuals guilty of committing voter fraud,,Profile 1,Profile 2,Profile 1,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Female,Male,High school diploma,Less than high school,High school diploma,Germany,Germany,Germany,Germany,Germany,Germany,Fluent English,Fluent English,Prior conviction (not voting related),Prior conviction (not voting related),No,No
IP Address,172.56.96.9,100,943,TRUE,R_2NCL0e98KzxgSk9,,,,,28.0206,-82.4574,anonymous,EN,0.899999976,3.035,17.602,18.5,15,"Yes, I consent",Female,55 - 64,White,No,"Associate degree (e.g. AA, AS)","Married, or in a domestic partnership",Employed full time (30 or more hours per week),"Over $100,000",Not very strong Republican,Conservative,Roman Catholic,78,75,75,74,50,Once in a while,Good,Once in a while,CORRECT,Decreased a little,Increased a lot,Extremely likely,A moderate amount,Run by a few big interests,A few,A little accurately,A moderate amount,Rarely,Somewhat confident,Somewhat unconfident,CORRECT,"I think that voter fraud is unfair and should be eliminated by prosecution, if necessary. ","In many ways voter fraud is perpetuated. There is ballot harvesting, voting multiple times, voting without proper registration. ",Yes,A lot,CORRECT,A lot,Only when there is concrete evidence of widespread voter fraud,Secure voting systems,,Profile 1,Profile 2,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Female,Male,Less than high school,Less than high school,High school diploma,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Fluent English,Fluent English,No prior conviction,Prior conviction (not voting related),Yes,Yes
IP Address,73.210.31.75,100,367,TRUE,R_52JmUrEhyNf2wJG,,,,,41.7523,-88.0541,anonymous,EN,0.699999988,0,0,2.179,0,"Yes, I consent",Male,35 - 44,White,No,"Bachelor's degree (e.g. BA, BS)","Married, or in a domestic partnership",Employed full time (30 or more hours per week),"Over $100,000",Lean Democrat,Liberal,Protestant,100,100,100,100,100,Once in a while,Poor,Once in a while,Illinois,Kept the same as it is now,Kept the same as it is now,Somewhat unlikely,A little,Run by a few big interests,About half,Completely accurately,A moderate amount,Rarely,Somewhat confident,Very confident,CORRECT,"Donald Trump. He lied about it, he caused it, his followers did it, and he still lies about it to this day.",Those who are morally compromised find ways to do it and then complain about others doing it. It's projection 100% of the time.,Yes,A little,A moderate amount,A little,It's not a significant concern,Non-partisan commissions that oversee elections,,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Profile 2,Profile 2,Profile 1,Profile 2,Female,Male,College degree,Less than high school,College degree,China,China,China,China,China,China,Broken English,Broken English,No prior conviction,No prior conviction,Yes,Yes
IP Address,47.144.93.224,100,365,TRUE,R_1Se0LGid0F1Q4Lv,,,,,34.0121,-117.6883,anonymous,EN,0.899999976,2.423,2.423,2.976,1,"Yes, I consent",Male,25 - 34,White,Yes,"Bachelor's degree (e.g. BA, BS)",Single (never married),Employed full time (30 or more hours per week),"$70,000 - $79,999",Strong Democrat,Very Liberal,Atheist,15,100,100,100,88,Never,Fair,Never,CORRECT,Increased a little,Increased a little,Extremely unlikely,Somewhat,Run by a few big interests,About half,Completely accurately,A great deal,Occasionally,Very confident,Very confident,CORRECT,I think about people voting in ways they are not supposed to but usually they get caught,I think they try to vote twice in one day or something like that ,Yes,Not at all,Not at all,Not at all,Only when there is concrete evidence of widespread voter fraud,Fine individuals guilty of committing voter fraud,,Profile 2,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Profile 2,Profile 1,Female,Female,College degree,College degree,College degree,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Broken English,Broken English,No prior conviction,Prior conviction (not voting related),No,No
IP Address,24.165.106.5,100,514,TRUE,R_3r6u2xBYIN3FmxO,,,,,40.0946,-83.0118,anonymous,EN,1,5.968,31.137,33.001,8,"Yes, I consent",Male,35 - 44,White,No,"Some college, no degree",Single (never married),Unemployed,"$20,000 - $29,999",Lean Democrat,Conservative,Roman Catholic,93,76,60,60,60,Once in a while,Poor,About half the time,Ohio,Decreased a little,Increased a little,Somewhat likely,A little,Run by a few big interests,About half,Completely accurately,A lot,Rarely,Very confident,Somewhat confident,CORRECT,I think about how so people will cheat to try and get what they want.,I don't think it does that much but I've heard of dead people voting.,Yes,Not at all,CORRECT,A little,Only when there is concrete evidence of widespread voter fraud,Stricter voter identification requirements and verification,,Profile 1,Profile 2,Profile 2,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Profile 1,Profile 1,Profile 2,Female,Male,College degree,Less than high school,Less than high school,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Fluent English,Fluent English,Prior conviction (not voting related),No prior conviction,Yes,Yes
IP Address,99.179.4.21,100,501,TRUE,R_3HuI5Jx2bkCSwxZ,,,,,30.1503,-97.2865,anonymous,EN,1,0.871,6.688,7.722,3,"Yes, I consent",Female,35 - 44,White,No,"Bachelor's degree (e.g. BA, BS)","Married, or in a domestic partnership",Homemaker,"Over $100,000",Lean Republican,Moderate,Agnostic,100,0,9,81,10,Never,Poor,Never,CORRECT,Decreased a lot,Increased a lot,Extremely likely,Not at all,Run by a few big interests,Most,Moderately accurately,A lot,Rarely,Somewhat confident,Somewhat confident,CORRECT,I think about corrupt groups or politicians trying to rig the election process.,"Either through people casting ballots that they’re not legally allowed to, machines being hacked, or numbers being skewed.",Yes,Not at all,CORRECT,A little,Only when there is concrete evidence of widespread voter fraud,Stricter voter identification requirements and verification,,Profile 2,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Profile 2,Male,Female,Less than high school,College degree,High school diploma,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Fluent English,Fluent English,No prior conviction,No prior conviction,Yes,Yes
IP Address,73.246.112.51,100,519,TRUE,R_5KBI1eMAb8u0NZm,,,,,42.0364,-88.324,anonymous,EN,1,3.783,3.783,5.058,1,"Yes, I consent",Female,55 - 64,White,No,"Associate degree (e.g. AA, AS)","Married, or in a domestic partnership",Employed part time (29 or less hours per week),"Over $100,000",Strong Republican,Very Conservative,Roman Catholic,87,70,73,72,62,Never,Very Poor,Once in a while,Illinois,Decreased a lot,Increased a lot,Extremely likely,A little,Run by a few big interests,Most,Moderately accurately,A moderate amount,Rarely,Somewhat confident,Unconfident,CORRECT,Voter fraud has defintely increased over the years.,I think mail in voting should not be allowed.,No,A lot,A lot,A lot,Only in closely contested elections,Stricter voter identification requirements and verification,,Profile 2,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Profile 2,Profile 2,Profile 2,Profile 1,Profile 1,Female,Female,College degree,Less than high school,Less than high school,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Fluent English,Fluent English,No prior conviction,Prior conviction (not voting related),Yes,Yes
IP Address,98.21.211.120,100,820,TRUE,R_2K892677qLd63we,,,,,41.3179,-81.3471,anonymous,EN,0.899999976,0.528,15.699,16.883,9,"Yes, I consent",Female,18 - 24,White,No,High school degree or equivalent (e.g. GED),Single (never married),Employed full time (30 or more hours per week),"$30,000 - $39,999",Not very strong Democrat,Liberal,Other,66,100,100,100,96,Never,Poor,Once in a while,Pennsylvania,Increased a lot,Decreased a little,Extremely unlikely,Not at all,Run by a few big interests,Most,Moderately accurately,Not at all,Rarely,Somewhat unconfident,Somewhat unconfident,CORRECT,I don’t know if it necessarily happens but I do believe the government has something to do with who we pick and they can decide at the end of the day who they want in office.,I’m not quite sure but I’m sure it is happening on a level that we can’t see. ,Yes,A moderate amount,CORRECT,A moderate amount,"Always, even when there is no evidence",Incarcerate individuals guilty of committing voter fraud,,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Profile 1,Profile 1,Profile 2,Profile 1,Profile 1,Profile 2,Male,Female,Less than high school,College degree,Less than high school,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Fluent English,Fluent English,Prior conviction (not voting related),No prior conviction,No,No
IP Address,107.4.122.8,100,408,TRUE,R_6KZu3Y7s9HYIayM,,,,,42.5655,-83.3783,anonymous,EN,0.899999976,1.832,1.832,2.702,1,"Yes, I consent",Female,18 - 24,White,No,"Bachelor's degree (e.g. BA, BS)",Single (never married),Employed part time (29 or less hours per week),"$90,000 - $99,999",Not very strong Democrat,Very Liberal,Agnostic,79,83,85,81,69,About half the time,Good,About half the time,CORRECT,Increased a little,Decreased a little,Somewhat unlikely,Not at all,Run by a few big interests,Most,Moderately accurately,A moderate amount,Rarely,Somewhat confident,Somewhat confident,CORRECT,I think voter fraud is a complex problem. I believe it can potentially sway the country in the wrong direction and damage democracy,If an individual has access to tamper with some results or has power regarding finances ,No,Not at all,CORRECT,A little,Only when there is concrete evidence of widespread voter fraud,Secure voting systems,,Profile 2,Profile 2,Profile 1,Profile 2,Profile 2,Profile 1,Profile 2,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Female,Male,Less than high school,Less than high school,High school diploma,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Broken English,Broken English,No prior conviction,Prior conviction (not voting related),No,No
IP Address,35.141.106.63,100,922,TRUE,R_1frCp41EcfNYuQO,,,,,29.0511,-82.038,anonymous,EN,0.699999988,3.905,5.374,7.268,2,"Yes, I consent",Male,25 - 34,White,No,"Bachelor's degree (e.g. BA, BS)","Married, or in a domestic partnership",Employed full time (30 or more hours per week),"$50,000 - $59,999",Strong Democrat,Very Liberal,Agnostic,100,74,48,63,64,Always,Excellent,Always,CORRECT,Increased a lot,Increased a lot,Extremely unlikely,Somewhat,For the benefit of all people,About half,Completely accurately,A great deal,Very often,Very confident,Somewhat confident,CORRECT,I think that people who made a voter fraud has been paid to do so and must be arrested,Voter fraud happens during an election by people who are ineligible vote,No,Not at all,CORRECT,Not at all,"Always, even when there is no evidence",Stricter voter identification requirements and verification,,Profile 2,Profile 1,Profile 2,Profile 2,Profile 2,Profile 2,Profile 1,Profile 2,Profile 2,Profile 2,Profile 1,Profile 2,Male,Female,High school diploma,Less than high school,High school diploma,USA,USA,USA,USA,USA,USA,fluent English,fluent English,No prior conviction,Prior conviction (not voting related),Yes,Yes
IP Address,173.68.50.19,100,390,TRUE,R_7wcRJaD22Bc9A7x,,,,,41.0566,-73.8128,anonymous,EN,1,2.906,2.906,3.699,1,"Yes, I consent",Male,18 - 24,White,No,"Bachelor's degree (e.g. BA, BS)",Single (never married),Self-employed,"Over $100,000",Lean Republican,Moderate,Agnostic,87,87,87,87,83,About half the time,Good,About half the time,CORRECT,Increased a little,Increased a little,Neither likely nor unlikely,A little,Run by a few big interests,About half,Very accurately,A moderate amount,Rarely,Somewhat confident,Neither confident or unconfident,CORRECT,"When people commit the act of voter fraud, they do it because they want their voice to be heard even if they are not supposed to have their voice heard.",I think voter fraud happens by people using fake IDs and pretending to be someone else that they know never comes out to vote.,No,A little,CORRECT,A little,Only in closely contested elections,Stricter voter identification requirements and verification,,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Profile 1,Profile 2,Profile 1,Profile 1,Female,Female,College degree,Less than high school,Less than high school,China,China,China,China,China,China,Broken English,Broken English,Prior conviction (not voting related),Prior conviction (not voting related),Yes,Yes
IP Address,134.215.135.32,100,1092,TRUE,R_35EiSvTnCzaZcMV,,,,,32.8954,-105.948,anonymous,EN,1,217.392,217.392,217.951,1,"Yes, I consent",Male,35 - 44,White,No,"Associate degree (e.g. AA, AS)",Single (never married),Employed full time (30 or more hours per week),"$50,000 - $59,999",Lean Democrat,Liberal,Protestant,85,41,19,20,35,About half the time,Good,Once in a while,CORRECT,Increased a little,Increased a little,Neither likely nor unlikely,Somewhat,For the benefit of all people,Most,Very accurately,Not at all,Rarely,Neither confident or unconfident,Somewhat confident,CORRECT,i think about rich people determining elections,i think it happens all the time locally and nationally.,No,A little,CORRECT,A little,Only in closely contested elections,Non-partisan commissions that oversee elections,,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Profile 1,Female,Female,High school diploma,High school diploma,College degree,Syria,Syria,Syria,Syria,Syria,Syria,Broken English,Broken English,Prior conviction (not voting related),No prior conviction,Yes,Yes
